Disease,Description,Disease Slug,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Description (ID),Disease (ID),Precaution_1 (ID),Precaution_2 (ID),Precaution_3 (ID),Precaution_4 (ID)
Hypoglycemia, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor,Hipoglikemia adalah suatu kondisi di mana kadar gula darah (glukosa) Anda lebih rendah dari biasanya. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering terkait dengan pengobatan diabetes. Tetapi obat -obatan lain dan berbagai kondisi - banyak yang jarang - dapat menyebabkan gula darah rendah pada orang yang tidak menderita diabetes.,Hipoglikemia,berbaring di samping,Periksa pulsa,Minum minuman manis,Konsultasikan dengan dokter
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Jerawat vulgaris adalah pembentukan komedon, papula, pustula, nodul, dan/atau kista sebagai akibat dari obstruksi dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan batang atas. Ini paling sering mempengaruhi remaja.",Jerawat,mandi dua kali,Hindari makanan pedas berlemak,minum banyak air,Hindari terlalu banyak produk
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,"Impetigo (im-puh-tie-go) adalah infeksi kulit yang umum dan sangat menular yang terutama mempengaruhi bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, dan di tangan dan kaki. Luka meledak dan mengembangkan kerak berwarna madu.",Impetigo,Rendam area yang terkena di air hangat,Gunakan antibiotik,Hapus keropeng dengan kain tekan basah,Konsultasikan dengan dokter
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",peptic-ulcer-diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"Peptik ulkus penyakit (PUD) adalah istirahat di lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang -kadang kerongkongan yang lebih rendah. Ulkus di perut disebut ulkus lambung, sedangkan satu di bagian pertama usus adalah ulkus duodenum.",Penyakit Ulkus Peptik,Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",common-cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"Pilek umum adalah infeksi virus hidung dan tenggorokan Anda (saluran pernapasan atas). Biasanya tidak berbahaya, meskipun mungkin tidak terasa seperti itu. Banyak jenis virus dapat menyebabkan flu biasa.",Flu biasa,Minum minuman kaya vitamin C,Ambil uap,Hindari makanan dingin,Terus demam
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",chicken-pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,"Cacarpox adalah penyakit yang sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Ini dapat menyebabkan ruam yang gatal, seperti blister. Ruam pertama kali muncul di dada, punggung, dan wajah, dan kemudian menyebar ke seluruh tubuh, menyebabkan antara 250 dan 500 lepuh gatal.",Cacar air,Gunakan Neem dalam mandi,mengkonsumsi daun neem,Ambil vaksin,Hindari tempat umum
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",cervical-spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,"Spondylosis serviks adalah istilah umum untuk keausan dan air mata terkait usia yang mempengaruhi disk tulang belakang di leher Anda. Ketika disk dehidrasi dan menyusut, tanda -tanda osteoartritis berkembang, termasuk proyeksi tulang di sepanjang tepi tulang (taji tulang).",Spondylosis serviks,Gunakan pad pemanas atau paket dingin,latihan,Ambil pereda nyeri OTC,Konsultasikan dengan dokter
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Hipertiroidisme (tiroid yang terlalu aktif) terjadi ketika kelenjar tiroid Anda menghasilkan terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh Anda, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur.",Hipertiroidisme,makan yang sehat,pijat,Gunakan lemon balm,Ambil pengobatan yodium radioaktif
Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",urinary-tract-infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"Infeksi saluran kemih: infeksi ginjal, ureter, kandung kemih, atau uretra. Uti yang disingkat. Tidak semua orang dengan ISK memiliki gejala, tetapi gejala umum termasuk dorongan yang sering untuk buang air kecil dan nyeri atau terbakar saat buang air kecil.",Infeksi saluran kemih,minum banyak air,Tingkatkan asupan vitamin C,Minum jus cranberry,Ambil probiotik
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",varicose-veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"Vena yang telah membesar dan bengkok, sering muncul sebagai pembuluh darah biru yang menggembung yang terlihat jelas melalui kulit. Varises varises paling umum pada orang dewasa yang lebih tua, terutama wanita, dan terjadi terutama pada kaki.",Pembuluh mekar,berbaring telentang dan angkat kaki tinggi,Gunakan salep,Gunakan kompresi vena,jangan berdiri lama
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",aids,avoid open cuts,wear ppe if possible,consult doctor,follow up,"Acquired Immunodeficiency Syndrome (AIDS) adalah kondisi kronis yang berpotensi mengancam jiwa yang disebabkan oleh virus imunodefisiensi manusia (HIV). Dengan merusak sistem kekebalan tubuh Anda, HIV mengganggu kemampuan tubuh Anda untuk melawan infeksi dan penyakit.",AIDS,Hindari potongan terbuka,Kenakan APD jika memungkinkan,Konsultasikan dengan dokter,menindaklanjuti
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",paralysis-brain-hemorrhage,massage,eat healthy,exercise,consult doctor,"Perdarahan intracerebral (ICH) adalah ketika darah tiba -tiba masuk ke jaringan otak, menyebabkan kerusakan pada otak Anda. Gejala biasanya muncul tiba -tiba selama ICH. Mereka termasuk sakit kepala, kelemahan, kebingungan, dan kelumpuhan, terutama di satu sisi tubuh Anda.",Kelumpuhan (perdarahan otak),pijat,makan yang sehat,latihan,Konsultasikan dengan dokter
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,"Penyakit akut yang ditandai oleh demam yang disebabkan oleh infeksi dengan bakteri Salmonella typhi. Demam tifoid mengalami onset berbahaya, dengan demam, sakit kepala, sembelit, malaise, kedinginan, dan nyeri otot. Diare tidak umum, dan muntah biasanya tidak parah.",Penyakit tipus,makan sayuran kalori tinggi,Terapi antibiotik,Konsultasikan dengan dokter,pengobatan
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",hepatitis-b,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B adalah infeksi hati Anda. Ini dapat menyebabkan jaringan parut pada organ, gagal hati, dan kanker. Ini bisa berakibat fatal jika tidak diobati. Ini menyebar ketika orang bersentuhan dengan darah, luka terbuka, atau cairan tubuh seseorang yang memiliki virus hepatitis B.",Hepatitis B,Konsultasikan dengan rumah sakit terdekat,Vaksinasi,makan yang sehat,pengobatan
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",fungal-infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Pada manusia, infeksi jamur terjadi ketika jamur yang menyerang mengambil alih area tubuh dan terlalu banyak untuk ditangani oleh sistem kekebalan tubuh. Jamur dapat hidup di udara, tanah, air, dan tanaman. Ada juga beberapa jamur yang hidup secara alami di dalam tubuh manusia. Seperti banyak mikroba, ada jamur yang bermanfaat dan jamur yang berbahaya.",Infeksi jamur,mandi dua kali,Gunakan Dettol atau Neem dalam air mandi,Jaga agar area yang terinfeksi tetap kering,Gunakan kain bersih
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",hepatitis-c,Consult nearest hospital,vaccination,eat healthy,medication,"Peradangan hati karena virus hepatitis C (HCV), yang biasanya menyebar melalui transfusi darah (jarang), hemodialisis, dan tongkat jarum. Kerusakan yang dilakukan hepatitis C pada hati dapat menyebabkan sirosis dan komplikasinya serta kanker.",Hepatitis 100,Konsultasikan dengan rumah sakit terdekat,Vaksinasi,makan yang sehat,pengobatan
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor,"Migrain dapat menyebabkan nyeri berdenyut parah atau sensasi berdenyut, biasanya di satu sisi kepala. Sering disertai dengan mual, muntah, dan sensitivitas ekstrem terhadap cahaya dan suara. Serangan migrain dapat bertahan selama berjam -jam, dan rasa sakitnya bisa sangat parah sehingga mengganggu aktivitas sehari -hari Anda.",Migrain,meditasi,mengurangi stres,Gunakan kacamata poloroid di bawah sinar matahari,Konsultasikan dengan dokter
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",bronchial-asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help,"Asma bronkial adalah kondisi medis yang menyebabkan jalur saluran napas paru -paru membengkak dan sempit. Karena pembengkakan ini, jalur udara menghasilkan kelebihan lendir sehingga sulit untuk bernafas, yang mengakibatkan batuk, napas pendek, dan mengi. Penyakit ini kronis dan mengganggu kerja harian.",Asma bronkial,Beralih ke pakaian longgar,Ambil napas dalam -dalam,menjauh dari pemicu,mencari pertolongan
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",alcoholic-hepatitis,stop alcohol consumption,consult doctor,medication,follow up,"Hepatitis alkoholik adalah kondisi yang sakit dan radang hati yang disebabkan oleh konsumsi alkohol berat selama periode waktu yang lama. Ini juga diperburuk dengan pesta minuman keras dan penggunaan alkohol yang berkelanjutan. Jika Anda mengembangkan kondisi ini, Anda harus berhenti minum alkohol",Hepatitis alkoholik,Hentikan konsumsi alkohol,Konsultasikan dengan dokter,pengobatan,menindaklanjuti
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"Pewarnaan kuning kulit dan sclera (putih mata) oleh kadar darah pigmen empedu yang tidak normal. Kunnya meluas ke jaringan lain dan cairan tubuh. Yaundice pernah disebut ""Morbus Regius"" (Penyakit Regal) dengan keyakinan bahwa hanya sentuhan raja yang bisa menyembuhkannya",Penyakit kuning,minum banyak air,Konsumsi susu thistle,makan buah -buahan dan makanan berserat tinggi,pengobatan
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,hepatitis-e,stop alcohol consumption,rest,consult doctor,medication,Bentuk peradangan hati yang jarang disebabkan oleh infeksi dengan virus hepatitis E (HEV). Ini ditransmisikan melalui makanan atau minuman yang ditangani oleh orang yang terinfeksi atau melalui pasokan air yang terinfeksi di daerah -daerah di mana tinja dapat masuk ke dalam air. Hepatitis E tidak menyebabkan penyakit hati kronis.,Hepatitis e,Hentikan konsumsi alkohol,istirahat,Konsultasikan dengan dokter,pengobatan
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"Penyakit menular akut yang disebabkan oleh flavivirus (virus dengue spesies dari genus flavivirus), ditularkan oleh nyamuk Aedes, dan ditandai dengan sakit kepala, nyeri sendi yang parah, dan ruam. - Disebut juga demam breakbone, demam berdarah.",Demam berdarah,Minumlah jus daun pepaya,Hindari makanan pedas berlemak,Jauhkan nyamuk,tetap terhidrasi
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",hepatitis-d,consult doctor,medication,eat healthy,follow up,"Hepatitis D, juga dikenal sebagai virus hepatitis delta, adalah infeksi yang menyebabkan hati meradang. Pembengkakan ini dapat mengganggu fungsi hati dan menyebabkan masalah hati jangka panjang, termasuk jaringan parut hati dan kanker. Kondisi ini disebabkan oleh virus hepatitis D (HDV).",Hepatitis D.,Konsultasikan dengan dokter,pengobatan,makan yang sehat,menindaklanjuti
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",heart-attack,call ambulance,chew or swallow asprin,keep calm, ,"Kematian otot jantung karena hilangnya suplai darah. Hilangnya suplai darah biasanya disebabkan oleh penyumbatan lengkap arteri koroner, salah satu arteri yang memasok darah ke otot jantung.",Serangan jantung,Panggil ambulans,mengunyah atau menelan aspirin,tetap tenang,
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",pneumonia,consult doctor,medication,rest,follow up,"Pneumonia adalah infeksi pada satu atau kedua paru -paru. Bakteri, virus, dan jamur menyebabkannya. Infeksi menyebabkan peradangan di kantung udara di paru -paru Anda, yang disebut alveoli. Alveoli mengisi dengan cairan atau nanah, membuatnya sulit untuk bernafas.",Radang paru-paru,Konsultasikan dengan dokter,pengobatan,istirahat,menindaklanjuti
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",arthritis,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis adalah pembengkakan dan kelembutan satu atau lebih sendi Anda. Gejala utama artritis adalah nyeri sendi dan kekakuan, yang biasanya memburuk seiring bertambahnya usia. Jenis artritis yang paling umum adalah osteoartritis dan rheumatoid arthritis.",Radang sendi,latihan,Gunakan terapi panas dan dingin,coba akupunktur,pijat
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Gastroenteritis adalah peradangan pada saluran pencernaan, terutama lambung, dan usus besar dan kecil. Gastroenteritis virus dan bakteri adalah infeksi usus yang terkait dengan gejala diare, kram perut, mual, dan muntah.",Gastroenteritis,berhenti makan makanan padat untuk sementara,Cobalah minum air kecil,istirahat,mudah kembali untuk makan
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",tuberculosis,cover mouth,consult doctor,medication,rest,"TBC (TB) adalah penyakit menular yang biasanya disebabkan oleh bakteri Mycobacterium tuberculosis (MTB). Tuberkulosis umumnya mempengaruhi paru -paru, tetapi juga dapat mempengaruhi bagian tubuh lainnya. Sebagian besar infeksi tidak menunjukkan gejala, dalam hal ini dikenal sebagai TB laten.",TBC,Tutup mulut,Konsultasikan dengan dokter,pengobatan,istirahat
