TEXT,LABEL
joint pain yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
skin rash chills vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
joint pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
vomiting sunken eyes diarrhoea,gastroenteritis
pus filled pimples blackheads scurring,acne
muscle wasting patches in throat extra marital contacts,aids
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
skin rash joint pain skin peeling silver like dusting small dents in nails,psoriasis
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,psoriasis
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
vomiting headache nausea loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
joint pain neck pain knee pain swelling joints painful walking,osteoarthristis
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability,migraine
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
vomiting breathlessness sweating chest pain,heart-attack
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
itching vomiting yellowish skin nausea loss of appetite yellowing of eyes,chronic-cholestasis
fatigue mood swings weight loss sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
fatigue cramps obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
continuous sneezing shivering chills watering from eyes,allergy
vomiting headache nausea loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic-ulcer-diseae
itching skin rash stomach pain burning micturition spotting urination,drug-reaction
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
muscle wasting patches in throat high fever,aids
muscle weakness stiff neck swelling joints movement stiffness,arthritis
chest pain dizziness loss of balance lack of concentration,hypertension-
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis-d
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
vomiting headache weakness of one body side altered sensorium,paralysis-brain-hemorrhage
vomiting headache altered sensorium,paralysis-brain-hemorrhage
itching skin rash nodal skin eruptions,fungal-infection
fatigue yellowish skin nausea loss of appetite family history,hepatitis-c
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
headache chest pain dizziness loss of balance lack of concentration,hypertension-
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
fatigue mood swings weight loss restlessness sweating diarrhoea excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
shivering chills watering from eyes,allergy
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
vomiting abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
itching stomach pain burning micturition spotting urination,drug-reaction
patches in throat high fever extra marital contacts,aids
headache weakness of one body side altered sensorium,paralysis-brain-hemorrhage
joint pain neck pain knee pain hip joint pain painful walking,osteoarthristis
headache chest pain dizziness loss of balance lack of concentration,hypertension-
continuous sneezing shivering chills,allergy
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
vomiting headache weakness of one body side altered sensorium,paralysis-brain-hemorrhage
skin rash blister red sore around nose yellow crust ooze,impetigo
stomach pain acidity vomiting cough chest pain,gerd
fatigue cramps bruising obesity swollen blood vessels prominent veins on calf,varicose-veins
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
sunken eyes dehydration diarrhoea,gastroenteritis
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis-d
stomach pain acidity ulcers on tongue vomiting cough chest pain,gerd
vomiting headache nausea spinning movements loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
continuous sneezing shivering chills watering from eyes,allergy
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
high fever blister red sore around nose yellow crust ooze,impetigo
back pain weakness in limbs neck pain loss of balance,cervical-spondylosis
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
vomiting dehydration diarrhoea,gastroenteritis
skin rash chills joint pain fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
itching skin rash stomach pain burning micturition,drug-reaction
fatigue yellowish skin nausea loss of appetite family history,hepatitis-c
vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity increased appetite polyuria,diabetes
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
vomiting indigestion loss of appetite passage of gases internal itching,peptic-ulcer-diseae
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
chills vomiting fatigue high fever headache constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis-d
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
itching vomiting yellowish skin nausea loss of appetite abdominal pain,chronic-cholestasis
back pain weakness in limbs neck pain dizziness loss of balance,cervical-spondylosis
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic-ulcer-diseae
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
muscle wasting patches in throat high fever extra marital contacts,aids
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
headache chest pain dizziness loss of balance lack of concentration,hypertension-
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
chills vomiting sweating headache nausea diarrhoea muscle pain,malaria
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
back pain weakness in limbs neck pain dizziness loss of balance,cervical-spondylosis
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic-ulcer-diseae
muscle wasting patches in throat high fever extra marital contacts,aids
headache weakness of one body side altered sensorium,paralysis-brain-hemorrhage
stomach pain acidity vomiting cough chest pain,gerd
constipation pain during bowel movements pain in anal region bloody stool,dimorphic-hemmorhoidspiles
fatigue cramps bruising obesity swollen legs prominent veins on calf,varicose-veins
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic-ulcer-diseae
joint pain neck pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,psoriasis
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
chills vomiting fatigue weight loss cough high fever sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
vomiting yellowish skin abdominal pain distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
vomiting headache weakness of one body side altered sensorium,paralysis-brain-hemorrhage
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
itching skin rash fatigue lethargy high fever headache mild fever swelled lymph nodes malaise red spots over body,chicken-pox
fatigue nausea loss of appetite yellowing of eyes family history,hepatitis-c
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
vomiting headache nausea loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
continuous sneezing shivering chills watering from eyes,allergy
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
vomiting breathlessness sweating chest pain,heart-attack
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
fatigue bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
vomiting headache nausea loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
fatigue high fever breathlessness family history mucoid sputum,bronchial-asthma
indigestion loss of appetite abdominal pain passage of gases internal itching,peptic-ulcer-diseae
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
muscle wasting patches in throat extra marital contacts,aids
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
itching vomiting fatigue weight loss high fever dark urine abdominal pain,jaundice
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
skin rash pus filled pimples blackheads scurring,acne
continuous sneezing shivering chills watering from eyes,allergy
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
joint pain vomiting yellowish skin dark urine nausea loss of appetite diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
vomiting headache weakness of one body side altered sensorium,paralysis-brain-hemorrhage
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
chills vomiting high fever headache nausea diarrhoea muscle pain,malaria
vomiting abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
constipation pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
chills vomiting fatigue weight loss cough breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
skin rash nodal skin eruptions dischromic patches,fungal-infection
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
chest pain dizziness loss of balance lack of concentration,hypertension-
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,psoriasis
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability,migraine
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis-d
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
itching skin rash stomach pain spotting urination,drug-reaction
itching skin rash fatigue lethargy high fever headache loss of appetite swelled lymph nodes malaise red spots over body,chicken-pox
continuous sneezing shivering chills,allergy
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
itching skin rash nodal skin eruptions,fungal-infection
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
continuous sneezing chills fatigue cough high fever headache malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
muscle wasting patches in throat high fever extra marital contacts,aids
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
joint pain vomiting fatigue dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis-d
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic-ulcer-diseae
breathlessness sweating chest pain,heart-attack
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
fatigue mood swings weight loss restlessness sweating fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
burning micturition bladder discomfort continuous feel of urine,urinary-tract-infection
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
chills vomiting high fever sweating nausea diarrhoea muscle pain,malaria
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
joint pain neck pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
burning micturition bladder discomfort continuous feel of urine,urinary-tract-infection
burning micturition bladder discomfort foul smell of urine,urinary-tract-infection
itching skin rash stomach pain spotting urination,drug-reaction
headache dizziness loss of balance lack of concentration,hypertension-
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,psoriasis
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
chills vomiting fatigue weight loss cough high fever breathlessness loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
back pain weakness in limbs neck pain dizziness loss of balance,cervical-spondylosis
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
joint pain neck pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
chills vomiting high fever headache nausea diarrhoea muscle pain,malaria
vomiting indigestion abdominal pain passage of gases internal itching,peptic-ulcer-diseae
itching stomach pain burning micturition spotting urination,drug-reaction
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,psoriasis
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic-ulcer-diseae
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise red spots over body,dengue
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
sunken eyes dehydration diarrhoea,gastroenteritis
muscle wasting patches in throat high fever extra marital contacts,aids
joint pain neck pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
vomiting headache weakness of one body side altered sensorium,paralysis-brain-hemorrhage
joint pain neck pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
back pain weakness in limbs neck pain dizziness,cervical-spondylosis
vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic-ulcer-diseae
chills vomiting high fever sweating headache nausea muscle pain,malaria
fatigue weight gain cold hands and feets lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
shivering chills watering from eyes,allergy
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
vomiting breathlessness sweating chest pain,heart-attack
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
joint pain neck pain knee pain hip joint pain painful walking,osteoarthristis
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
fatigue weight gain cold hands and feets mood swings dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
chills vomiting fatigue high fever headache nausea abdominal pain diarrhoea toxic look typhos belly pain,typhoid
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
stomach pain acidity ulcers on tongue vomiting cough chest pain,gerd
vomiting headache weakness of one body side,paralysis-brain-hemorrhage
stomach pain acidity ulcers on tongue vomiting cough chest pain,gerd
back pain weakness in limbs neck pain dizziness loss of balance,cervical-spondylosis
